,OperadOR
Sempati Air,1
Military - Colombian Army,1
Elbee Airlines,1
Bazair,1
Military - Niger Air Force,1
Custom Air Service,1
Stavropol Airlines,1
ALADA,1
Transpolar,1
Buffalo Narrows Airways,1
Krasnoyarskie Avialinii,1
Sudania Air Cargo,1
SA Amazonica,1
Knight Air,1
American Jet,1
Bearskin Airlines / Air Sandy,1
Bangkok Airways,1
TAROM (Transporturile Aeriene Romane),1
Leadair - Charter,1
Abakan Airlines,1
Air Taxi - Wolfe Air Aviation Ltd.,1
Intercontinental de Aviacion,1
Phoenix Aviation,1
SL Aviation Services,1
Transportes Aereos Pegaso,1
Ansett New Zealand,1
Iran Asseman Airlines,1
Arsenyev Aviation Production Association,1
TAM Paraguay,1
Cheremshanka Airlines,1
Eitos,1
Heavylift Cargo Airlines,1
Northwest Airlines/ Northwest Airlines,1
Oriental Airlines,1
Aerocontroctors - Charter,1
Air Taxi - National Helicopters,1
Air Taxi - Talon Air Services Inc.,1
LACOL,1
Volga Air,1
Akhal Air,1
Azerbaijani Airlines,1
Compania de Aviacion Faucett SA (Peru),1
Aero Tropical,1
Hati Express,1
Military - Taliban Militia,1
"Alas Nacionales, leased from Birgen Air",1
Business Air Connection,1
Lineas Aereas del Caribe,1
African Air,1
Mustique Airways,1
Romanian Banat Air,1
Far East Aviation,1
Summit Air Charters,1
Harka Air Services,1
Kirghizia Aba Zaoldoru,1
Western Straits Air,1
Norilsk Flight Company,1
Adventure Airlines,1
North Star Air Cargo,1
Bourag Indonesia Airlines,1
Aero Air,1
Transniugini Airways,1
Military - Madagascar Air Force,1
Garamut Aviation,1
BAFIN,1
Charter - Central Air,1
Sundance Helicopters,1
Bombardier Aerospace,1
Filair,1
Majuba Aviation,1
Kogalmavia,1
Dagestan Airlines,1
Sun Way,1
NARZ,1
JS Air,1
Aerocaribbean,1
Military - Tajik National Guard,1
International Security Assistance Force,1
Conviasa Airline,1
Sky Dive New Zealand,1
United Parcel Service- UPS,1
Military - Venezuelan National Guard,1
Henan Airlines,1
Allied Air,1
Branch River Air Service,1
GCI Communications Corp.,1
Katekavia Airline,1
All West Freight,1
Airblue,1
Military - Romainian Air Force,1
Aéropro,1
Air India Express,1
Pamir Airlines,1
Blue Wings Airlines,1
Afriqiyah Airways,1
Interisland Airlines,1
Airborne Freight Company Union,1
Manx2,1
Central American Airways,1
Trans Air Cargo,1
Pawan Hans Helicopters Ltd.,1
Military -Fuerza Aerea Colombiana,1
Bhoja Airlines,1
UTAir,1
Military - Turkish Army (NATO),1
Jet One Express,1
TRACEP Congo Aviation,1
Sundance Helicopters Inc.,1
Fuerza Aerea Mexicana,1
Blue Hawaiian Helicopter,1
Northern Thunderbird Air Inc.,1
Airline PNG,1
Nusantara Buana Air,1
Buddha Air,1
Arctic Sunwest Charters,1
Private - Aero Trans Corp,1
Military - FANA Forca Aerea Nacional Angolana,1
YAK Service,1
Chilean Air Force,1
LifeNet,1
Avis Amur,1
Military - Royal Moroccan Air Force,1
NOAR Linhas Aéreas,1
Angara Airlines,1
Silk Way Airlines,1
RusAir Airlines,1
SOL Lineas Aereas,1
AmazonavesAir Taxi,1
Military - Yemeni Arm,1
Piquiatuba Taxi Aereo,1
Alaska Central Express,1
Empire Airlines leased from FedEx,1
Rotorcraft Leasing Co,1
Webstas Aviation Services Inc.,1
XL Airways leased from Air New Zealand,1
Falcon Aviation Group,1
Air Angles Inc.,1
Maryland State Police,1
Global Executive Aviation,1
Aerogulf,1
Air Tahoma,1
Conviasa,1
Itek Air,1
Spanair,1
Fly 540,1
Junction City Fire Department,1
East Coast Jets,1
Centurian Air Cargo,1
USA Jet Airlines,1
Ababeel Aviaition,1
Air Methods / Classic Helicopters,1
Military - Thai Army,1
PHI Air Medical,1
TACA International Airlines,1
Military - Servicio Aereo Nacional,1
Moskovia Airlines,1
Island Express Helicopter Service,1
Chelan Air Service,1
Naftogaz,1
Alantis Aviation,1
Petroleum Helicopters Inc,1
Seair Seaplanes,1
US Airways,1
Avient Aviation,1
Mountain Lifeflight,1
Rwandair,1
Russian Ministry of Interior,1
Divi Divi Air,1
Azzi,1
Victoria Air,1
Omniflight Helicopters Inc.,1
SA Airlink,1
Military - Kazakhstan border guard service,1
Aero Fret Business,1
Airlines  PNG,1
Liberty Helicopter Sightseeing Tours / Private,1
Bangkok Airlines,1
Aria Airlines,1
Vertical-T Air,1
Caspian Airlines,1
Yemenia Airway,1
Strait Air,1
Bako Air,1
Bond Offshore Helicopters,1
Eagle Cap Leasing,1
Cougar Helicopters,1
Turkish Airlines,1
Flight Service,1
Continental Connection/Colgan Air,1
Aerotaxi Manaus,1
Sukhoi,1
Dana Air,1
Kata Transportation,1
Russian Air Force,1
Naure Air,1
West Wind Aviation,1
