,ac_type
Sikorsky CH-53D (helicopter),2
Lockheed HC-130P Hercules,2
Sikorsky S-42 (flying boat),2
Lockheed 14H Super Electra,2
Potez 621,2
Short Empire Flying Boat,2
Britten Norman BN-2A-27 Islander,2
Antonov An-28,2
de Havilland DH.80 Puss Moth,2
Hawker Siddeley HS-748-209 Srs. 2,2
Stinson,2
de Havilland Canada DHC-2 Beaver,2
Airbus A-320-233,2
Antonov An-2,2
Lockheed C-141A (L.300),2
Piper PA-31,2
Boeing B-727-2F2,2
Lockheed C-130A,2
Ford 5-AT-B Tri-Motor,2
Stearman C-3MB,2
BAC One-Eleven 515FB,2
Lockheed L-1011,2
Cessna 402,2
Stinson SM-6000B,2
Beech E18S,2
Fairchild 71,2
Boeing B-737-2A1,2
Junkers G-24,2
Short S-17 Kent,2
Boeing B-737-2H6,2
Cessna 500 Citation I,2
Cessna 402B,2
Sud-Aviation Caravelle VI-N,2
Boeing B-727-21,2
Junkers 52/3m,2
Lockheed Orion,2
de Havilland DHC-3 Otter,2
Boeing Vertol CH47A (helicopter),2
Douglas C-47A-90-DL,2
Tupolev ANT-9,2
Lockheed C-141A,2
de Havilland Canada DHC-5D Buffalo,2
Antonov An-24,2
Hawker Siddeley Trident 2E,2
Sikorsky S-62A,2
Beechcraft Super King Air 200,2
Douglas C-47A-DK,2
Ford 5-AT-C Tri-Motor,2
Curtiss-Wright C-46D-CU,2
Avro Lancaster,2
Boeing B-747-200,2
Beechcraft 99A,2
Antonov An-2TP,2
Airbus A321-231,2
Douglas C-54G,2
de Havilland Canada DHC-7-102,2
Transall C-160D,2
Curtiss-Wright C-46F-CU,2
Boeing 737-8HG,2
Lockheed Vega 5C,2
Douglas C-47B-5-DK,2
Sikorsky S-38B,2
Douglas DC-2-243,2
Fairchild F-27B,2
Boeing 707-321CF,2
Curtiss AT-32C Condor,2
Bell 205A,2
Nord 262A-44,2
Avro 10,2
Potez IX,2
de Havilland DHC-5 Buffalo,2
Sikorsky S-61N,2
Piper PA-31-350 Chieftain,2
Lockheed Hudson VI,2
Fokker F-XXII,2
Consolidated B-24,2
Boeing B-727-235,2
Douglas C-53D-DO,2
Tupolev TU-154B-1,2
Shorts 330-200,2
Shorts 360-300,2
Fairchild F-27J,2
Lockheed Hercules C-130,2
Lockheed 18-56 Lodestar,2
Douglas C-47A-60-DL,2
Sikorsky CH-53D,2
Curtiss R-4LM,2
Bell UH-1H,2
Tupolev 154B-2,2
Boeing 707-327C,2
Antonov An-12B,2
BAC One-Eleven 402AP,2
Mil Mi 8T (helicopter),1
Britten-Norman BN-2B-27 Islander,1
Hawker Siddeley HS-748-329 Srs. 2A,1
Vickers Viscount 816,1
Aerospatiale AS-350B,1
Airbus A300B4-203,1
Hawker Siddeley Trident 2E /  II-28,1
Britten-Norman BN-2A-8 Islander,1
Hawker Siddeley HS-748-FAA,1
Boeing B-747-230B,1
Boeing B-737-2P6,1
Vickers 798D Viscount,1
McDonnell Douglas DC-8-54F37,1
Shorts SC-7 Skyvan 3A-200,1
Avia 14M-40,1
Lockheed C-141B / Lockheed C141B,1
CASA 212-A3 Aviocar 100,1
Boeing B-737-2V2,1
Boeing 707-373C,1
Convair CV-440-80,1
CASA 235-10,1
Fokker F-28 Fellowship 2000,1
Boeing B-747-258F,1
Sikorsky S-61N-II,1
Boeing B-767-233ER,1
Kawasaki C-1 / Kawasaki C-1,1
Fokker F-28 Fellowship 3000RC,1
Boeing B-747-283B,1
de Havilland Canada DHC-4T Caribou,1
Sud Aviation SE-210 Caravelle VIR,1
Shin Meiwa PS-1,1
Antonov AN-22A,1
Boeing B-727-200 / DC9-32,1
Fairchild C-199G,1
Airbus A300B2-203,1
Boeing B-727-2L5 / MiG23UB,1
Lockheed 1011-200 TriStar,1
Boeing B-727-27C,1
Lockheed EC-130E Hercules,1
Hawker Siddeley HS-748-2,1
Swearingen 226TC Metro II,1
Douglas DC-8-43F,1
Bell 205A-1 helicopter,1
British Aerospace 146-300,1
"Helicopter, Hughes 369HS",1
Lockheed MC-130E-Y,1
Britten-Norman  BN-2A-20 Trislander,1
Boeing B-747-2B5B,1
Piper PA-42 Cheyenne,1
Boeing B-727-46,1
Aerospatiale Caravelle 6R,1
de Havilland  Canada  DHC-5D Buffalo,1
Lockheed L-1011-200,1
Boeing B-737-5L9,1
Dornier Do-228-101,1
Piper PA-28-180,1
Boeing B-707-309C,1
DHC-6 Twin Otter 300 / NAMC YS-11,1
Britten Norman BN-2A Trislander7,1
Boeing B-707-340C,1
British Aerospace Jetstream BA-3100,1
Antonov AN-124,1
Douglas DC-4 (C-54),1
de Havilland Canada DHC-5 Buffalo,1
GAF Nomad 22B,1
Hawker Siddeley HS-748-234 Srs. 2A,1
GAF Nomad N-22,1
Britten Norman BN Islander,1
Cessna 441 Conquest,1
Cessna 185A,1
Boeing B-727-86,1
Fairchild FH-227H,1
Lockheed 1339,1
Dassault-Breguet Atlantique,1
Convair 580-11A,1
Boeing B-727-212A,1
de Havilland DHC -6-100,1
Boeing KC-135C,1
Beechcraft Bonanza F35,1
Hughes 369D,1
de Havilland Canada DHC-7-103,1
Westland Sea King HC-4 (helicopter),1
Aerospatiale 330G Puma,1
Fairchild-Hiller FH-227B-LCD,1
Boeing RC-135S,1
Bell UH-1B Huey Helicopter,1
Tupolev TU-154M / Sukhoi Su-24,1
Let 410UVP Turbojet / Tupolev TU-134V,1
Hawker Siddeley HS-748-234,1
Gates Learjet 25B,1
de Havilland Canada DHC-8-301,1
Boeing Vertol CH-47C (helicopter),1
Douglas DC-3 (C-47A-70-DL),1
LET  410M Turbojet,1
Aerospatiale Puma,1
Beech C-45H,1
Hadley Page 137Jetstream I / Cessna 206,1
Mitsubishi MU-2B-60,1
Boeing EC-135N,1
BAC One-Eleven 529FR,1
Ilyushin Il-14,1
Hawker Siddeley HS-748,1
Canadair CL-44D4-6,1
Antonov AN-24RV / Soviet Air Force TU-16,1
Yakovlev YAK-40 / Mil Mi-8,1
Northrop F-5A,1
Learjet 24,1
Pilatus PC-6/B2-H2 Turbo-Porter,1
Fairchild SA227-TT,1
Boeing B-747-466,1
Boeing 737-2A1C,1
Shaanxi Y-8D,1
Beechcraft C99 / Rockwell 112TC,1
Mi-6,1
Beech King Air B100,1
Mil Mi-17 ( helicopter),1
Boeing B-737-270C,1
CASA 212-100,1
Boeing B-737-401,1
Boeing B-707-379C,1
Swearingen SA-226TC / Mooney M-20C,1
Boeing KC-135,1
F-4C Phantom jet fighter,1
Boeing B-737-241,1
Dornier Do-288-201,1
Boeing 707-351C,1
Cessna 177RG,1
Swearingen SA-26TC Metro II,1
Cessna 404 Titan II,1
Sikorsky S-58T,1
Boeing B-377 Stratofreighter,1
Boeing B-737-2P5,1
Hawker Siddeley HS-125-403B,1
Boeing-Vertol Chinook,1
Lockheed C-130,1
Boeing B-727-264,1
Cessna 207 / Cessna 207,1
Lockheed L-1011-100,1
Nord 262C-66,1
Dassault Breguet Atlantique,1
de Havilland Can. DHC-6 -300/ Bell 206B,1
Lockheed C130D,1
Hawker Siddeley HS-748-2A,1
Howard 250,1
MD Douglas DC-9-32 / Piper PA-28-181,1
British Aerospace 3101 Jetstream 31,1
Agusta A109A MK II,1
Mil Mi-4 / Mil Mi-4,1
Casa 212 Aviocar,1
Boeing B-737-209,1
Short SC-7 Skyvan Variant,1
LET 410MT Turbojet,1
Boeing 737-286,1
Enstrom F-28F,1
Cessna 402C Utililiner,1
Mil Mi-8 / Mil Mi-8,1
BAC One-Eleven 516FP,1
Airbus A.300B4-203,1
Swearingen SA-226TC Metro II,1
Vickers 952F Vanguard,1
Swearingen SA227-AC,1
Boeing B-747-121A,1
Ilyushin IL-76 / Mi-8 (helicopter),1
Boeing B-727-2H9A,1
Sikorsky UH-60A / Sikorsky UH-60A,1
Douglas DC-8-55F,1
Yunshuji Y-12-II,1
Boeing B-707-338C,1
Aerospatiale Alenia ATR-42-312,1
Beech King Air F90,1
Boeing B-737-230,1
Boeing B-727-232 Adv,1
Hawker Siddeley HS-121 Trident 2E,1
Boeing B-737-297,1
Boeing B-737-3T0,1
Let 410MU,1
Boeing 707-328C,1
Swearingen SA.227AC Metro,1
Boeing 747-249F,1
Tupolev TU 154B-2,1
Curtiss C-46A-55,1
A-7D Corsair,1
Hawker Siddeley HS-748-435 Srs. 2,1
Cessna 404 Titan Courier II,1
Boeing B-747-244B Combi,1
Ilyushin IL-62MK,1
Boeing B-707-3B5C,1
British Aerospace BAe-146-200A,1
McDonnell Douglas DC-8 Super 62,1
Britten Norman BN-2A Trislander II,1
Embraer 120 Brasilia,1
Aérospatiale SE-210 Caravelle,1
Pilatus PC-6 Turbo Porter,1
Boeing B-707-349C,1
McDonnell Douglas DC-9-33RC,1
NAMC YS-11A-300F,1
Aerospatiale SA-330J,1
Boeing B-737-230A,1
Bell UH-1H / Bell UH-1H (helicopters),1
Fokker 27 Friendship 200,1
Boeing B-737-204,1
Piper Aerostar 601 / Bell 412SP,1
Boeing B-767-3Z9ER,1
Lockheed C-141B,1
Boeing B-737-2H7C,1
Cessna 207A,1
Handley Page Dart Herald 202,1
Dornier Do-228-212,1
Antonov An-2T,1
Embraer 120RT- Brasilia,1
McDonnell Douglas DC-8F-55,1
Beechcraft BE-99-C99,1
Lockheed P-3C / Lockheed P-3C,1
Hawker-Siddeley DH-125-1A/522,1
Ilyushin IL-76M,1
LET 410 M,1
Boeing B-727-225 Adv,1
Bell 206 L-1,1
British Aerospace BAE-146-200A,1
Beech Queen Air 65-A80,1
Lockheed L-382B Hercules,1
Aerospeciale AS-350D,1
Sepecat Jaguar A,1
Bell 206B helicopter,1
Britten Norman BN-2A-26 Trislander,1
Convair CV- 640,1
Boeing B-747-2R7F,1
Mc Donnell Douglas MD-81,1
Embraer C-95C Bandeirante,1
Lockheed CC-130E,1
Douglas EC-54U,1
Britten-Norman BN2A-III-2 Trislander,1
Bell UH-1H / Bell UH-1H,1
Learjet 23A,1
Bell 214 ST,1
Fairchild F-27M,1
Lockheed C-130H-30,1
Antonov AN-72,1
Embraer 110EJ Band./Embraer 110P Band.,1
Aerospatiale 350B1,1
McDonnell Douglas DC-8 Super 61,1
McDonnel F-4E Phantom II,1
McDonnell Douglas DC-9-15RC,1
Boeing B-737-300 / Swearingen SA-227AC,1
Boeing B-747-SP-09,1
Bell 296B,1
Beech King Air B90,1
Britten-Norman 2B-21 Islander,1
BAC One-Eleven 528FL,1
Boeing B-737-266,1
McDonnell Douglas DC-8 Super 63PF,1
Short SC7- Skyvan,1
Avro Shackleton AEW-2,1
Sud-Aviation  Caravelle VI-N,1
Douglas DC-3A-178,1
IPTN 332C Super Puma,1
Douglas DC-3 (C-47A-30-DK),1
Boeing B-737-281,1
CASA 212 Aviocar 300,1
Antonov An-12AP,1
Sikorsky S-58ET (helilcopter),1
MiG-23,1
DHC-5 Buffalo,1
Airbus A320-231,1
Boeing B-737-236,1
Bell BHT-206-B Helicopter,1
Lockheed C-5A,1
Boeing B-747-SR46,1
Boeing B-707-320F,1
Boeing B-727-256,1
Boeing B-727-251 / MD Douglas DC-9-14,1
Boeing RC-135T,1
Aerospatiale 330J Puma,1
de Havilland Canada DHC-8-103,1
HS-125-700B,1
Douglas C-47B-40-DK,1
Boeing B-737-247 / Boeing B-757-21B,1
Cessna 501 Citation,1
Boeing B-727-227,1
Tupolev TU-134A / Antonov An-26,1
Cessna 441 Conquest II,1
Boeing B-727-247,1
CH-53D,1
Piper PA-31-325 Navajo,1
Lockheed L-1011-1 TriStar,1
Let 410UVP Turolet,1
Wright Flyer III,1
British Aerospace Jetstream 4101,1
Bombardier DHC-8-402 Q400,1
Bell 206-L4 Jet Ranger III,1
Britten Norman BN-2A Trislander Mk3,1
Boeing 737-500,1
ATR-42-320,1
Sikorsky S-76C++,1
Bandeirante EMB-110P1,1
Boeing 737-8F2,1
Ilyushin Il-62M,1
Ilyushin Il-76T,1
Sikorsky S-92A,1
Pilatus PC-12/45,1
Eurocopter AS 332L2 Super Puma 2,1
British Aerospace BAe-146-300,1
Mi-35,1
Rockwell International 690B,1
Bell 222,1
Aerospatiale SA365N-1 Dauphin II,1
Learjet 60,1
Boeing B-737-505,1
Boeing B-737-219,1
Bell Huey UH-1H,1
British Aerospace BAe-125-800A,1
Boeing B-747-209BSF,1
Douglas DC9-15F,1
Ilysushin Il-76TD,1
Bell 407 / Bell 407,1
CASA NC-212,1
Bell UH-1N,1
Airbus A-310-324,1
Bell UN-1N Huey,1
Eurocopter AS350D Astar,1
Airbus A330-203,1
ATR-72-212A,1
McDonnell Douglas DC-9-51,1
Embraer ERJ-190-100LR,1
Beechcraft A100 King Air,1
McDonnell Douglas C-17A Globemaster III,1
Antonov An-24 V,1
de Havilland Canada DH-3T Otter,1
Boeing B-737-73V,1
Dornier 228-101,1
Mi 17V-5,1
Eurocopter AS-350BA / Piper PA-32R-300,1
Boeing B747-44AF,1
Fletcher FU-24-954,1
ATR 42-320,1
Sikorsky UH-60 Black Hawk,1
Ilyushin Il-76TD,1
Tupolev Tu-154B-2,1
Antonv An-24B,1
Antonv An-28,1
Airbus A330-202,1
Airbus A300B4-203F,1
Helicopter,1
GAF N22B Nomad,1
Embraer EMB-110C Bandeirante,1
Boeing 737-8AS,1
de Havilland Canada DHC-2 Beaver MK- 1,1
McDonnell Douglas MD-11F,1
Aerospatiale AS350,1
Ilyushin Il-76,1
Tupolev Tu-142M3,1
Britten-Norman BN-2A-8 Island,1
